Player,Share,Age,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Magic Johnson\johnsma02,0.263,26,72,35.8,18.8,5.9,12.6,1.6,0.2,0.526,0.233,0.871,12.1,0.226
Hakeem Olajuwon\olajuha01,0.247,23,68,36.3,23.5,11.5,2,2,3.4,0.526,0,0.645,9.5,0.186
Kareem Abdul-Jabbar\abdulka01,0.173,38,79,33.3,23.4,6.1,3.5,0.8,1.6,0.564,0,0.765,10.8,0.197
Charles Barkley\barklch01,0.171,22,80,36.9,20,12.8,3.9,2.2,1.6,0.572,0.227,0.685,10.8,0.176
Sidney Moncrief\moncrsi01,0.072,28,73,35.2,20.2,4.6,4.9,1.4,0.2,0.489,0.32,0.859,11.7,0.219
Alex English\englial01,0.071,32,81,37.3,29.8,5,4,0.9,0.4,0.504,0.2,0.862,9.8,0.156
Isiah Thomas\thomais01,0.036,24,77,36.2,20.9,3.6,10.8,2.2,0.3,0.488,0.31,0.79,8.8,0.151
Moses Malone\malonmo01,0.027,30,74,36.6,23.8,11.8,1.2,0.9,1,0.458,0,0.787,8.9,0.157
Terry Cummings\cummite01,0.012,24,82,32.5,19.8,8.5,2.4,1.5,0.6,0.474,0,0.656,7.4,0.133
James Worthy\worthja01,0.009,24,75,32.7,20,5.2,2.7,1.1,1,0.579,0,0.771,9.5,0.185
Kevin McHale\mchalke01,0.004,28,68,35.3,21.3,8.1,2.7,0.4,2,0.574,0,0.776,11,0.22
Paul Pressey\presspa01,0.004,27,80,33.8,14.3,5,7.8,2.1,0.9,0.488,0.182,0.806,9.8,0.174
Alvin Robertson\roberal01,0.004,23,82,35.1,17,6.3,5.5,3.7,0.5,0.514,0.276,0.795,8.6,0.143
Adrian Dantley\dantlad01,0.003,30,76,36.1,29.8,5.2,3.5,0.8,0.1,0.563,0.091,0.791,12.8,0.223
Buck Williams\willibu01,0.003,25,82,37.4,15.9,12,1.6,0.9,1.2,0.523,0,0.676,6.8,0.106
Dennis Johnson\johnsde01,0.001,31,78,35,15.6,3.4,5.8,1.4,0.4,0.455,0.143,0.818,6.7,0.118
Magic Johnson\johnsma02,0.94,27,80,36.3,23.9,6.3,12.2,1.7,0.5,0.522,0.205,0.848,15.9,0.263
Michael Jordan\jordami01,0.576,23,82,40,37.1,5.2,4.6,2.9,1.5,0.482,0.182,0.857,16.9,0.247
Larry Bird\birdla01,0.347,30,74,40.6,28.1,9.2,7.6,1.8,0.9,0.525,0.4,0.91,15.2,0.243
Kevin McHale\mchalke01,0.326,29,77,39.7,26.1,9.9,2.6,0.5,2.2,0.604,0,0.836,14.8,0.232
Dominique Wilkins\wilkido01,0.164,27,79,37.6,29,6.3,3.3,1.5,0.6,0.463,0.292,0.818,12.2,0.197
Charles Barkley\barklch01,0.145,23,68,40.3,23,14.6,4.9,1.8,1.5,0.594,0.202,0.761,12,0.21
Hakeem Olajuwon\olajuha01,0.036,24,75,36.8,23.4,11.4,2.9,1.9,3.4,0.508,0.2,0.702,10.9,0.189
Isiah Thomas\thomais01,0.022,25,81,37.2,20.6,3.9,10,1.9,0.2,0.463,0.194,0.768,7.6,0.121
Fat Lever\leverfa01,0.014,26,82,37.2,18.9,8.9,8,2.5,0.4,0.469,0.239,0.782,9.7,0.153
Moses Malone\malonmo01,0.012,31,73,34.1,24.1,11.3,1.6,0.8,1.3,0.454,0,0.824,9.4,0.182
Steve Johnson\johnsst03,0.005,29,79,29.7,16.8,7.2,2,0.6,1,0.556,0,0.698,4.4,0.091
Karl Malone\malonka01,0.004,23,82,34.8,21.7,10.4,1.9,1.3,0.7,0.512,0,0.598,6.9,0.116
Robert Parish\parisro01,0.004,33,80,37.4,17.5,10.6,2.2,0.8,1.8,0.556,0,0.735,9.2,0.147
Alex English\englial01,0.003,33,82,37.6,28.6,4.2,5.1,0.9,0.3,0.503,0.267,0.844,8.1,0.126
Mark Aguirre\aguirma01,0.001,27,80,33.3,25.7,5.3,3.2,1.1,0.4,0.495,0.353,0.77,8.9,0.16
Rolando Blackman\blackro01,0.001,27,80,34.5,21,3.5,3.3,0.8,0.3,0.495,0.333,0.884,8,0.14
Joe Barry Carroll\carrojo01,0.001,28,81,33.6,21.2,7.3,2.6,1.1,1.5,0.472,0,0.787,4.6,0.082
Michael Jordan\jordami01,0.831,24,82,40.4,35,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2,0.308
Larry Bird\birdla01,0.659,31,76,39,29.9,9.3,6.1,1.6,0.8,0.527,0.414,0.916,15,0.243
Magic Johnson\johnsma02,0.635,28,72,36.6,19.6,6.2,11.9,1.6,0.2,0.492,0.196,0.853,10.9,0.199
Charles Barkley\barklch01,0.136,24,80,39.6,28.3,11.9,3.2,1.3,1.3,0.587,0.28,0.751,16.7,0.253
Clyde Drexler\drexlcl01,0.108,25,81,37.8,27,6.6,5.8,2.5,0.6,0.506,0.212,0.811,13.2,0.207
Dominique Wilkins\wilkido01,0.069,28,78,37.8,30.7,6.4,2.9,1.3,0.6,0.464,0.295,0.826,9.8,0.16
Hakeem Olajuwon\olajuha01,0.05,25,79,35.8,22.8,12.1,2.1,2.1,2.7,0.514,0,0.695,10.7,0.182
